"","ID","week","block","treatment","vol"
"535","515-1","3","L","AdLib",0.07
"536","515-1","4","L","AdLib",0.07
"537","515-1","5","L","AdLib",0.22
"538","515-1","6","L","AdLib",0.09
"539","515-1","7","L","AdLib",0.08
"540","515-1","8","L","AdLib",0.09
"541","515-2","0","L","AdLib",2.01
"542","515-2","1","L","AdLib",1.23
"543","515-2","2","L","AdLib",1.58
"544","515-2","3","L","AdLib",0.36
"545","515-2","4","L","AdLib",0.35
"546","515-2","5","L","AdLib",0.29
"547","515-2","6","L","AdLib",0.15
"548","515-2","7","L","AdLib",0.28
"549","515-2","8","L","AdLib",0.11
"550","520-1","0","OB","AdLib",0.27
"551","520-1","1","OB","AdLib",0.09
"552","520-1","2","OB","AdLib",0.19
"553","520-1","3","OB","AdLib",0.13
"554","520-1","4","OB","AdLib",0
"555","520-1","5","OB","AdLib",0
"556","520-1","6","OB","AdLib",0
"557","520-1","7","OB","AdLib",0
"558","520-1","8","OB","AdLib",0
"559","522-1","0","OB","AdLib",0.69
"560","522-1","1","OB","AdLib",0.48
"561","522-1","2","OB","AdLib",0.84
"562","522-1","3","OB","AdLib",0.2
"563","522-1","4","OB","AdLib",0.15
"564","522-1","5","OB","AdLib",0.05
"565","522-1","6","OB","AdLib",0.06
"566","522-1","7","OB","AdLib",0.04
"567","522-1","8","OB","AdLib",0.18
"568","523-1","0","OB","AdLib",2.27
"569","523-1","1","OB","AdLib",3.38
"570","523-1","2","OB","AdLib",2.71
"571","523-1","3","OB","AdLib",3.54
"572","523-1","4","OB","AdLib",3.6
"573","523-1","5","OB","AdLib",4.89
"574","523-1","6","OB","AdLib",6.28
"575","523-1","7","OB","AdLib",6.03
"576","523-1","8","OB","AdLib",8.03
"577","550-1","0","OB","AdLib",0.29
"578","550-1","1","OB","AdLib",0.24
"579","550-1","2","OB","AdLib",0.03
"580","550-1","3","OB","AdLib",0.02
"581","550-1","4","OB","AdLib",0.02
"582","550-1","5","OB","AdLib",0.01
"583","550-1","6","OB","AdLib",0.01
"584","550-1","7","OB","AdLib",0
"585","550-1","8","OB","AdLib",0
"586","550-2","0","OB","AdLib",0.02
"587","550-2","1","OB","AdLib",0.01
"588","550-2","2","OB","AdLib",0
"589","550-2","3","OB","AdLib",0
"590","550-2","4","OB","AdLib",0.01
"591","550-2","5","OB","AdLib",0
"592","550-2","6","OB","AdLib",0
"593","550-2","7","OB","AdLib",0
"594","550-2","8","OB","AdLib",0
"595","551-1","0","OB","WM",1.04
"596","551-1","1","OB","WM",1.29
"597","551-1","2","OB","WM",1.29
"598","551-1","3","OB","WM",1.85
"599","551-1","4","OB","WM",2.62
"600","551-1","5","OB","WM",2.85
"601","551-1","6","OB","WM",3.07
"602","551-1","7","OB","WM",3.5
"603","551-1","8","OB","WM",3.09
"604","551-2","0","OB","WM",0
"605","551-2","1","OB","WM",0
"606","551-2","2","OB","WM",0
"607","551-2","3","OB","WM",0.84
"608","551-2","4","OB","WM",0.67
"609","551-2","5","OB","WM",1.22
"610","551-2","6","OB","WM",1.28
"611","551-2","7","OB","WM",1.59
"612","551-2","8","OB","WM",1.96
"613","552-1","0","OB","WM",1.02
"614","552-1","1","OB","WM",0.62
"615","552-1","2","OB","WM",0.54
"616","552-1","3","OB","WM",0.68
"617","552-1","4","OB","WM",0.95
"618","552-1","5","OB","WM",1.02
"619","552-1","6","OB","WM",1.06
"620","552-1","7","OB","WM",1.89
"621","552-1","8","OB","WM",1.78
"622","555-1","0","OB","WM",1.05
"623","555-1","1","OB","WM",0.47
"624","555-1","2","OB","WM",0.36
"625","555-1","3","OB","WM",0.31
"626","555-1","4","OB","WM",0.11
"627","555-1","5","OB","WM",0.26
"628","555-1","6","OB","WM",0.16
"629","555-1","7","OB","WM",0.11
"630","555-1","8","OB","WM",0.16
"631","555-2","0","L","WM",0
"632","555-2","1","L","WM",0
"633","555-2","2","L","WM",0
"634","555-2","3","L","WM",0
"635","555-2","4","L","WM",0
"636","555-2","5","L","WM",0
"637","555-2","6","L","WM",0
"638","555-2","7","L","WM",0
"639","555-2","8","L","WM",0.03
"640","557-1","0","L","WM",1.57
"641","557-1","1","L","WM",0.47
"642","557-1","2","L","WM",0.2
"643","557-1","3","L","WM",0.08
"644","557-1","4","L","WM",0.11
"645","557-1","5","L","WM",0.08
"646","557-1","6","L","WM",0.06
"647","557-1","7","L","WM",0.05
"648","557-1","8","L","WM",0.07
"649","557-2","0","L","AdLib",0.94
"650","557-2","1","L","AdLib",0.9
"651","557-2","2","L","AdLib",0.23
"652","557-2","3","L","AdLib",0.08
"653","557-2","4","L","AdLib",0.07
"654","557-2","5","L","AdLib",0.06
"655","557-2","6","L","AdLib",0.03
"656","557-2","7","L","AdLib",0.02
"657","557-2","8","L","AdLib",0.02
"658","561-1","0","L","AdLib",0.31
"659","561-1","1","L","AdLib",0.19
"660","561-1","2","L","AdLib",0.03
"661","561-1","3","L","AdLib",0.04
"662","561-1","4","L","AdLib",0.13
"663","561-1","5","L","AdLib",0.09
"664","561-1","6","L","AdLib",0.07
"665","561-1","7","L","AdLib",0.01
"666","561-1","8","L","AdLib",0.02
"667","571-1","0","L","AdLib",2.93
"668","571-1","1","L","AdLib",1.8
"669","571-1","2","L","AdLib",0.73
"670","571-1","3","L","AdLib",0.41
"671","571-1","4","L","AdLib",0.21
"672","571-1","5","L","AdLib",0.1
"673","571-1","6","L","AdLib",0.08
"674","571-1","7","L","AdLib",0.1
"675","571-1","8","L","AdLib",0.18
"676","573-1","0","L","AdLib",0.49
"677","573-1","1","L","AdLib",0.34
"678","573-1","2","L","AdLib",0.05
"679","573-1","3","L","AdLib",0.1
"680","573-1","4","L","AdLib",0.8
"681","573-1","5","L","AdLib",0.97
"682","573-1","6","L","AdLib",1.71
"683","573-1","7","L","AdLib",1.54
"684","573-1","8","L","AdLib",0.64
"685","573-3","0","L","AdLib",0
"686","573-3","1","L","AdLib",0
"687","573-3","2","L","AdLib",0
"688","573-3","3","L","AdLib",0.02
"689","573-3","4","L","AdLib",0.31
"690","573-3","5","L","AdLib",0.48
"691","573-3","6","L","AdLib",1.32
"692","573-3","7","L","AdLib",1.75
"693","573-3","8","L","AdLib",2.88
"694","573-5","0","L","AdLib",0
"695","573-5","1","L","AdLib",0
"696","573-5","2","L","AdLib",0
"697","573-5","3","L","AdLib",0
"698","573-5","4","L","AdLib",0
"699","573-5","5","L","AdLib",0
"700","573-5","6","L","AdLib",0.36
"701","573-5","7","L","AdLib",1.28
"702","573-5","8","L","AdLib",1.35
"703","591-2","0","L","AdLib",1.93
"704","591-2","1","L","AdLib",1.37
"705","591-2","2","L","AdLib",0.83
"706","591-2","3","L","AdLib",0.76
"707","591-2","4","L","AdLib",0.35
"708","591-2","5","L","AdLib",0.27
"709","591-2","6","L","AdLib",0.39
"710","591-2","7","L","AdLib",0.34
"711","591-2","8","L","AdLib",0.29
"712","592-1","0","L","AdLib",1.22
"713","592-1","1","L","AdLib",1
"714","592-1","2","L","AdLib",1.09
"715","592-1","3","L","AdLib",0.85
"716","592-1","4","L","AdLib",0.95
"717","592-1","5","L","AdLib",1.27
"718","592-1","6","L","AdLib",0.85
"719","592-1","7","L","AdLib",0.83
"720","592-1","8","L","AdLib",0.75
"721","595-1","0","L","AdLib",2.12
"722","595-1","1","L","AdLib",0.57
"723","595-1","2","L","AdLib",0.2
"724","595-1","3","L","AdLib",0.08
"725","595-1","4","L","AdLib",0.1
"726","595-1","5","L","AdLib",0.08
"727","595-1","6","L","AdLib",0.04
"728","595-1","7","L","AdLib",0.04
"729","595-1","8","L","AdLib",0.04
"730","605-1","0","L","AdLib",2.4
"731","605-1","1","L","AdLib",0.87
"732","605-1","2","L","AdLib",0.54
"733","605-1","3","L","AdLib",0.13
"734","605-1","4","L","AdLib",0.11
"735","605-1","5","L","AdLib",0.14
"736","605-1","6","L","AdLib",0.14
"737","605-1","7","L","AdLib",0.14
"738","605-1","8","L","AdLib",0.05
"739","608-1","0","L","AdLib",0.4
"740","608-1","1","L","AdLib",0.17
"741","608-1","2","L","AdLib",0.05
"742","608-1","3","L","AdLib",0
"743","608-1","4","L","AdLib",0
"744","608-1","5","L","AdLib",0
"745","608-1","6","L","AdLib",0
"746","608-1","7","L","AdLib",0
"747","608-1","8","L","AdLib",0
"748","608-2","0","L","AdLib",1.36
"749","608-2","1","L","AdLib",2.12
"750","608-2","2","L","AdLib",0.55
"751","608-2","3","L","AdLib",0.26
"752","608-2","4","L","AdLib",0.13
"753","608-2","5","L","AdLib",0.21
"754","608-2","6","L","AdLib",0.11
"755","608-2","7","L","AdLib",0.04
"756","608-2","8","L","AdLib",0
"757","608-3","0","OB","WM",0
"758","608-3","1","OB","WM",0.26
"759","608-3","2","OB","WM",0.24
"760","608-3","3","OB","WM",0.07
"761","608-3","4","OB","WM",0.01
"762","608-3","5","OB","WM",0.04
"763","608-3","6","OB","WM",0.06
"764","608-3","7","OB","WM",0.15
"765","608-3","8","OB","WM",0.14
"766","617-1","0","OB","WM",1.18
"767","617-1","1","OB","WM",2.55
"768","617-1","2","OB","WM",2.28
"769","617-1","3","OB","WM",0.74
"770","617-1","4","OB","WM",0.64
"771","617-1","5","OB","WM",0.58
"772","617-1","6","OB","WM",0.46
"773","617-1","7","OB","WM",0.45
"774","617-1","8","OB","WM",0.16
"775","617-2","0","OB","AdLib",0.19
"776","617-2","1","OB","AdLib",0.62
"777","617-2","2","OB","AdLib",0.36
"778","617-2","3","OB","AdLib",0.25
"779","617-2","4","OB","AdLib",0.35
"780","617-2","5","OB","AdLib",0.81
"781","617-2","6","OB","AdLib",1.84
"782","617-2","7","OB","AdLib",4.21
"783","617-2","8","OB","AdLib",6.65
"784","627-1","0","L","WM",2.06
"785","627-1","1","L","WM",0.83
"786","627-1","2","L","WM",0.66
"787","627-1","3","L","WM",0.44
"788","627-1","4","L","WM",0.29
"789","627-1","5","L","WM",0.27
"790","627-1","6","L","WM",0.17
"791","627-1","7","L","WM",0.03
"792","627-1","8","L","WM",0
"793","628-1","0","L","AdLib",1.09
"794","628-1","1","L","AdLib",1.87
"795","628-1","2","L","AdLib",0.35
"796","628-1","3","L","AdLib",0.07
"797","628-1","4","L","AdLib",0.22
"798","628-1","5","L","AdLib",0.19
"799","628-1","6","L","AdLib",0.03
"800","628-1","7","L","AdLib",0.44
"801","628-1","8","L","AdLib",1.03
"802","630-1","0","L","AdLib",0.11
"803","630-1","1","L","AdLib",0.01
"804","630-1","2","L","AdLib",0.02
"805","630-1","3","L","AdLib",0
"806","630-1","4","L","AdLib",0
"807","630-1","5","L","AdLib",0
"808","630-1","6","L","AdLib",0
"809","630-1","7","L","AdLib",0
"810","630-1","8","L","AdLib",0.02
"811","630-2","0","L","AdLib",0.31
"812","630-2","1","L","AdLib",0.25
"813","630-2","2","L","AdLib",0.17
"814","630-2","3","L","AdLib",0.03
"815","630-2","4","L","AdLib",0.01
"816","630-2","5","L","AdLib",0.01
"817","630-2","6","L","AdLib",0.01
"818","630-2","7","L","AdLib",0.01
"819","630-2","8","L","AdLib",0.05
"820","630-3","0","L","AdLib",0
"821","630-3","1","L","AdLib",0.01
"822","630-3","2","L","AdLib",0
"823","630-3","3","L","AdLib",0
"824","630-3","4","L","AdLib",0
"825","630-3","5","L","AdLib",0
"826","630-3","6","L","AdLib",0
"827","630-3","7","L","AdLib",0
"828","630-3","8","L","AdLib",0
"829","630-4","0","L","AdLib",0
"830","630-4","1","L","AdLib",0.01
"831","630-4","2","L","AdLib",0
"832","630-4","3","L","AdLib",0
"833","630-4","4","L","AdLib",0
"834","630-4","5","L","AdLib",0
"835","630-4","6","L","AdLib",0
"836","630-4","7","L","AdLib",0
"837","630-4","8","L","AdLib",0
"838","630-5","0","OB","AdLib",0
"839","630-5","1","OB","AdLib",0
"840","630-5","2","OB","AdLib",0
"841","630-5","3","OB","AdLib",0
"842","630-5","4","OB","AdLib",0
"843","630-5","5","OB","AdLib",0
"844","630-5","6","OB","AdLib",0
"845","630-5","7","OB","AdLib",0
"846","630-5","8","OB","AdLib",0
"847","632-1","0","OB","AdLib",1.04
"848","632-1","1","OB","AdLib",1.48
"849","632-1","2","OB","AdLib",1.45
"850","632-1","3","OB","AdLib",1.89
"851","632-1","4","OB","AdLib",2.31
"852","632-1","5","OB","AdLib",1.48
"853","632-1","6","OB","AdLib",0.86
"854","632-1","7","OB","AdLib",0.82
"855","632-1","8","OB","AdLib",0.37
"856","632-2","0","L","WM",0.15
"857","632-2","1","L","WM",0.01
"858","632-2","2","L","WM",0.01
"859","632-2","3","L","WM",0
"860","632-2","4","L","WM",0
"861","632-2","5","L","WM",0.02
"862","632-2","6","L","WM",0
"863","632-2","7","L","WM",0.05
"864","632-2","8","L","WM",0.01
"865","632-3","0","OB","WM",0
"866","632-3","1","OB","WM",0
"867","632-3","2","OB","WM",0
"868","632-3","3","OB","WM",0
"869","632-3","4","OB","WM",0
"870","632-3","5","OB","WM",0
"871","632-3","6","OB","WM",0
"872","632-3","7","OB","WM",0
"873","632-3","8","OB","WM",0
"874","641-1","0","OB","WM",0.31
"875","641-1","1","OB","WM",0.22
"876","641-1","2","OB","WM",0.03
"877","641-1","3","OB","WM",0.07
"878","641-1","4","OB","WM",0.01
"879","641-1","5","OB","WM",0.01
"880","641-1","6","OB","WM",0.04
"881","641-1","7","OB","WM",0.01
"882","641-1","8","OB","WM",0.09
"883","641-2","0","L","WM",5.64
"884","641-2","1","L","WM",5.09
"885","641-2","2","L","WM",2.12
"886","641-2","3","L","WM",1.81
"887","641-2","4","L","WM",1.7
"888","641-2","5","L","WM",1.99
"889","641-2","6","L","WM",1.34
"890","641-2","7","L","WM",1.27
"891","641-2","8","L","WM",0
"892","653-2","0","L","WM",0.05
"893","653-2","1","L","WM",0.01
"894","653-2","2","L","WM",0
"895","653-2","3","L","WM",0
"896","653-2","4","L","WM",0
"897","653-2","5","L","WM",0
"898","653-2","6","L","WM",0
"899","653-2","7","L","WM",0
"900","653-2","8","L","WM",0
"901","666-1","0","L","WM",3.41
"902","666-1","1","L","WM",1.98
"903","666-1","2","L","WM",0.33
"904","666-1","3","L","WM",0.84
"905","666-1","4","L","WM",0.66
"906","666-1","5","L","WM",0.28
"907","666-1","6","L","WM",0.39
"908","666-1","7","L","WM",0.38
"909","666-1","8","L","WM",0.62
"910","666-2","0","L","WM",2.21
"911","666-2","1","L","WM",1.76
"912","666-2","2","L","WM",0.61
"913","666-2","3","L","WM",0.48
"914","666-2","4","L","WM",0.53
"915","666-2","5","L","WM",0.39
"916","666-2","6","L","WM",0.22
"917","666-2","7","L","WM",0.09
"918","666-2","8","L","WM",0.38
"919","680-1","0","L","AdLib",6.08
"920","680-1","1","L","AdLib",5.8
"921","680-1","2","L","AdLib",3.29
"922","680-1","3","L","AdLib",1.89
"923","680-1","4","L","AdLib",1.54
"924","680-1","5","L","AdLib",0.92
"925","680-1","6","L","AdLib",1.45
"926","680-1","7","L","AdLib",0.85
"927","680-1","8","L","AdLib",0.91
"928","680-2","0","L","AdLib",0
"929","680-2","1","L","AdLib",0.01
"930","680-2","2","L","AdLib",0
"931","680-2","3","L","AdLib",0
"932","680-2","4","L","AdLib",0
"933","680-2","5","L","AdLib",0
"934","680-2","6","L","AdLib",0
"935","680-2","7","L","AdLib",0
"936","680-2","8","L","AdLib",0
"937","681-1","0","L","AdLib",0.75
"938","681-1","1","L","AdLib",0.37
"939","681-1","2","L","AdLib",0.19
"940","681-1","3","L","AdLib",0.01
"941","681-1","4","L","AdLib",0.01
"942","681-1","5","L","AdLib",0.01
"943","681-1","6","L","AdLib",0.07
"944","681-1","7","L","AdLib",0.02
"945","681-1","8","L","AdLib",0.03
"946","681-2","0","L","AdLib",0.12
"947","681-2","1","L","AdLib",0.07
"948","681-2","2","L","AdLib",0.01
"949","681-2","3","L","AdLib",0
"950","681-2","4","L","AdLib",0
"951","681-2","5","L","AdLib",0
"952","681-2","6","L","AdLib",0
"953","681-2","7","L","AdLib",0
"954","681-2","8","L","AdLib",0
"955","681-3","0","L","AdLib",0.01
"956","681-3","1","L","AdLib",0
"957","681-3","2","L","AdLib",0.03
"958","681-3","3","L","AdLib",0
"959","681-3","4","L","AdLib",0
"960","681-3","5","L","AdLib",0
"961","681-3","6","L","AdLib",0
"962","681-3","7","L","AdLib",0
"963","681-3","8","L","AdLib",0
"964","683-1","0","OB","WM",0
"965","683-1","1","OB","WM",0.01
"966","683-1","2","OB","WM",0
"967","683-1","3","OB","WM",0
"968","683-1","4","OB","WM",0
"969","683-1","5","OB","WM",0
"970","683-1","6","OB","WM",0
"971","683-1","7","OB","WM",0
"972","683-1","8","OB","WM",0
"973","686-1","0","L","WM",0.97
"974","686-1","1","L","WM",0.34
"975","686-1","2","L","WM",0.22
"976","686-1","3","L","WM",0.05
"977","686-1","4","L","WM",0.1
"978","686-1","5","L","WM",0.12
"979","686-1","6","L","WM",0.02
"980","686-1","7","L","WM",0.08
"981","686-1","8","L","WM",0.03
"982","691-1","0","L","AdLib",0.35
"983","691-1","1","L","AdLib",0.46
"984","691-1","2","L","AdLib",0.52
"985","691-1","3","L","AdLib",0.28
"986","691-1","4","L","AdLib",0.44
"987","691-1","5","L","AdLib",0.31
"988","691-1","6","L","AdLib",0.68
"989","691-1","7","L","AdLib",0.45
"990","691-1","8","L","AdLib",0.53
"991","691-2","0","L","WM",1.08
"992","691-2","1","L","WM",1.6
"993","691-2","2","L","WM",0.93
"994","691-2","3","L","WM",0.53
"995","691-2","4","L","WM",0.43
"996","691-2","5","L","WM",0.32
"997","691-2","6","L","WM",0.5
"998","691-2","7","L","WM",0.29
"999","691-2","8","L","WM",0.36
"1000","691-3","0","L","WM",0
"1001","691-3","1","L","WM",0.26
"1002","691-3","2","L","WM",0.14
"1003","691-3","3","L","WM",0.01
"1004","691-3","4","L","WM",0.01
"1005","691-3","5","L","WM",0.01
"1006","691-3","6","L","WM",0
"1007","691-3","7","L","WM",0
"1008","691-3","8","L","WM",0.01
"1009","691-4","0","L","WM",0
"1010","691-4","1","L","WM",0
"1011","691-4","2","L","WM",0
"1012","691-4","3","L","WM",0
"1013","691-4","4","L","WM",0
"1014","691-4","5","L","WM",0
"1015","691-4","6","L","WM",0
"1016","691-4","7","L","WM",0
"1017","691-4","8","L","WM",0
"1018","692-1","0","L","AdLib",0.88
"1019","692-1","1","L","AdLib",0.68
"1020","692-1","2","L","AdLib",0.33
"1021","692-1","3","L","AdLib",0.22
"1022","692-1","4","L","AdLib",0.09
"1023","692-1","5","L","AdLib",0.05
"1024","692-1","6","L","AdLib",0.02
"1025","692-1","7","L","AdLib",0.01
"1026","692-1","8","L","AdLib",0
"1027","692-2","0","L","AdLib",0.46
"1028","692-2","1","L","AdLib",0.17
"1029","692-2","2","L","AdLib",0.02
"1030","692-2","3","L","AdLib",0
"1031","692-2","4","L","AdLib",0
"1032","692-2","5","L","AdLib",0
"1033","692-2","6","L","AdLib",0
"1034","692-2","7","L","AdLib",0
"1035","692-2","8","L","AdLib",0.04
"1036","696-1","0","OB","AdLib",1.49
"1037","696-1","1","OB","AdLib",0.84
"1038","696-1","2","OB","AdLib",0.74
"1039","696-1","3","OB","AdLib",0.55
"1040","696-1","4","OB","AdLib",0.4
"1041","696-1","5","OB","AdLib",0.56
"1042","696-1","6","OB","AdLib",0.35
"1043","696-1","7","OB","AdLib",0.38
"1044","696-1","8","OB","AdLib",0.1
"1045","696-2","0","OB","AdLib",1.58
"1046","696-2","1","OB","AdLib",0.95
"1047","696-2","2","OB","AdLib",0.67
"1048","696-2","3","OB","AdLib",0.32
"1049","696-2","4","OB","AdLib",0.32
"1050","696-2","5","OB","AdLib",0.34
"1051","696-2","6","OB","AdLib",0.15
"1052","696-2","7","OB","AdLib",0.14
"1053","696-2","8","OB","AdLib",0.11
"1054","696-3","0","L","AdLib",0.06
"1055","696-3","1","L","AdLib",0.1
"1056","696-3","2","L","AdLib",0.08
"1057","696-3","3","L","AdLib",0
"1058","696-3","4","L","AdLib",0
"1059","696-3","5","L","AdLib",0
"1060","696-3","6","L","AdLib",0
"1061","696-3","7","L","AdLib",0
"1062","696-3","8","L","AdLib",0
